Run command: "java  -classpath .:./bin:./libs/api-1.1.0.jar:./libs/gson-2.2.jar main/ClusterAnalyzer" 
--------------------------
User 38998 had most receipts
User 31124 had most money received
1kTqVSFMfhwLtRaMbpgH8UQZ2NmPn6X5X Paid the FBI with ID 17509
1NWLWZLKMbak8X5fchCkx4A7Aov5vp48tm Paid the FBI with ID 17509
14g8WA3ZnK4GuQbceiPrmC1jzzyXKpWYzn Paid the FBI with ID 17509
19uLptSUJfgvFT6eXdMBiN5sQW5FeLzp8F Paid the FBI with ID 17509
1CTwzYcQwA8bkvj4sDPSDm32qZeYMRVo5q Paid the FBI with ID 17509
1Q1u3Aabt4CLzXSYvBdvazUKo4A4fv87qd Paid the FBI with ID 17509
18z425dL6Ro6qufjThv4R6WZGcRYoiHb52 Paid the FBI with ID 17509
1BixbSQ1c5L4549L6pWVJN6ZbTxo2ZSR6C Paid the FBI with ID 17509
1ENfvMsZMGnHRWZvMHRSrVnPSgmPACKuGW Paid the FBI with ID 17509
1FnK5QEyLH7tuCiDLqg7GNzdBjuMnY4hz1 Paid the FBI with ID 17509
121Ti6vF1PWuKypCPtiYA1tWyshyRVoLSP Paid the FBI with ID 17509
1B5TGBxjzh89rUQKNpFdMv5VdvdEs2EbXa Paid the FBI with ID 17509
12apMzL6h2N38YzPxRvUxg2bvtSChBKU8M Paid the FBI with ID 17509
1BGXoRJyT36CZ4EFX9MLsxJK3B37HW6sLg Paid the FBI with ID 17509
14J93aoWXroZFHkMTqWGFATiaY8V6bfao5 Paid the FBI with ID 17509
1Q2zbSecgC1sNMebiEJaRRPxHov25yibkv Paid the FBI with ID 17509
1NRsmQDwmoruaXxQfLyzB4xW3xGnbBRH5e Paid the FBI with ID 17509
1NpMYc5V2izC2hRtu52XehA9t4sYbDwwir Paid the FBI with ID 17509
14hc2WAWWqzZH9397uKyaEahsexYyZ59QX Paid the FBI with ID 17509
1MDbFZn9493st8RZCabZDPrHPzdwaqxhhw Paid the FBI with ID 17509
1Gxe6qkRXavgGsAmS3NSz2a5tSMAdhe6XZ Paid the FBI with ID 17509
14hESqDksFTABW6MWTUdWPHgyKfV5bTnwA Paid the FBI with ID 17509
12X9udEeWoBtLhsEPfpeXSRpnKURmnSLam Paid the FBI with ID 17509
1DVPb3bUzRGd4MceT6QaMR2Edt4reBue74 Paid the FBI with ID 17509
1FZRj4Dp83tKHKUKrdLLG3r3ruvsv9K46c Paid the FBI with ID 17509
1CuBmfJo6zGajDYaw3DRUzDU8tkCUnt6mZ Paid the FBI with ID 17509
19AJhEHNn79vJq4TQ6mgYsUqsdWozQSojP Paid the FBI with ID 17509
1FDJchdKgT9QXMJPkRjsRa7VZyPFe3aJTp Paid the FBI with ID 17509
14LS1dy8sjN4vtUa5Q7ACaKkBtG9yJ1dax Paid the FBI with ID 17509
163kmQkqjSACpNK9HDEARJGEpiAsehyBXo Paid the FBI with ID 17509
1DB34VLkkcQpnuupRyCC2FiELtbWe93vge Paid the FBI with ID 17509
1KgaFAbMqjqANV9yoyZzpMFhvuVhYuiPJu Paid the FBI with ID 17509
17tdwjRGLDK9xwt7AwXEGPDDj23gCV5PMc Paid the FBI with ID 17509
1LXwprb2mu5dpEXfqAnfT1kfUQr3to7RZy Paid the FBI with ID 17509
12EPVZyqf6FL6RTrmza6WqxKEB9xyVhbWA Paid the FBI with ID 17509
1KDNGXwSTbstaGjHjLT6xQuYmsLYxTrNW5 Paid the FBI with ID 17509
1MUsTiggEvMnc1WjthXmC6npAeFzzbr3bi Paid the FBI with ID 17509
17aWjsYepbZ9dvGev9Lf6oromjAyhc6VsW Paid the FBI with ID 17509
17wbtDcBbpVUCHcmjtfWMDuYbdAPJAQvvR Paid the FBI with ID 17509
1Ai4q1VgMRWeTXK6MKVjLYjsjKf1taGL9U Paid the FBI with ID 17509
1DbQG9XJLvfpBhMMzDcsq3mWNodHfXaTmj Paid the FBI with ID 17509
1Dmn9f5WgP8SnRVK8DaVvMvsGJ1V44zKt3 Paid the FBI with ID 17509
13dvmRV7V1MUaod7Wf2tAFSYwGb98j57RE Paid the FBI with ID 17509
12XzWqTSgZogp553xhfdXXvB3mAWj2bcdH Paid the FBI with ID 17509
1BTu1f3qPootGRvdysx6br9DhUwrFpc34k Paid the FBI with ID 17509
1JMepk4CDamMydfd9nij3RMm7zqjVkXv1D Paid the FBI with ID 17509
1B3EXfQcsQp22StGs8yqfqwPV6cQyaWfaA Paid the FBI with ID 17509
1BkNbgFFXKupQBQUaeVkt5VjqkUuQgpdpn Paid the FBI with ID 17509
13ftdiLJWo74zVhxbhkdFBcpU4Wabw98Gh Paid the FBI with ID 17509
1Ctm1Czryzqmi1eNhg7YUMd6K4DJS6EFbj Paid the FBI with ID 17509
1Aqr681rFBuDx3smdRQNxJBMQ1h95ZGrCx Paid the FBI with ID 17509
12BXYUCBRtt1CP8JdZ1k9xi1EXEHVKgzjj Paid the FBI with ID 17509
1EmjXqMXU8552dB1PFCA1tWQW39riAJdih Paid the FBI with ID 17509
13cam5CxvsfrwbTVk56m1DWxkrv1Jzo7hZ Paid the FBI with ID 17509
19rS6gSFNYZ7oZGTp8uA2HTE1rN98mrMt4 Paid the FBI with ID 17509
13UcPFCx6j7XRhCVHYHbx2X2MbiQ2hxtKo Paid the FBI with ID 17509
114wPbe7NntWdpq7HpRVrhba2C89WEvLf Paid the FBI with ID 17509
13M2f6DmN39ENwJ6d9sdFHrpRmuB9Rvnfs Paid the FBI with ID 17509
1JLKNbshDVetqjpgjeANt4SYbqPkvCzGZw Paid the FBI with ID 17509
1ATcEbEPAvqQ7eAWwdPGftcfrC7D322mE Paid the FBI with ID 17509
1BHB4cg31fVdYpbKz8qtYCsUwGgiK6UEE Paid the FBI with ID 17509
13anqu5Z39mRAU268EgXZ8tMvQX4LveRm9 Paid the FBI with ID 17509
1BVX9GuTh2cHzSN541rAuRNvu9w76eMZvG Paid the FBI with ID 17509
12ggmsrJuocEW8a567n5jivFDq2znmhqxY Paid the FBI with ID 17509
17pjTCKot51AE411pdjtnwuP3eRkfNyCe5 Paid the FBI with ID 17509
1Pe9X1eMJeAbTEmd9pwoSgTmojdpfKWAff Paid the FBI with ID 17509
1JtcCWvgJ5TRKdptwyAvFxuFPVRHqTdzvA Paid the FBI with ID 17509
1FLteX6MsprMubXMixeatzcyQ5zkN27jAu Paid the FBI with ID 17509
1PrrTayCBjw55uLw88EmcN8748GP6RQt4Y Paid the FBI with ID 17509
1GbY6ufLFit81uF3a6Fw5aXpWfdbrcRa32 Paid the FBI with ID 17509
1GtTUFdkgaff21dwqBfAzYX7AYoXxH26jN Paid the FBI with ID 17509
1EvWL2Y9MsC7gCQB5dphdiBNFR8C9GnzsE Paid the FBI with ID 17509
1GkYZHdFY3oiAN2ysLnxZeYAyXDFxozGg3 Paid the FBI with ID 17509
